ndoc,Date_or_order,Cust_ID,Sum_RUR,Pmnt_RUR
14321944,01.01.17 13:45:48,16,5780,0
14321992,01.01.17 17:01:20,19,5928,5928
14321996,01.01.17 17:15:36,20,9054,9054
14322149,02.01.17 12:41:29,9,8273,8273
14322150,02.01.17 12:41:42,9,4419,4419
14322169,02.01.17 13:45:01,10,1312,1312
14322301,02.01.17 20:06:05,4,10000,0
14322478,03.01.17 12:25:25,1,2182,2182
14322498,03.01.17 13:02:03,16,10370,10370
14322517,03.01.17 13:34:18,12,1635,1635
14323062,04.01.17 18:17:34,20,16218,16218
14323294,05.01.17 13:18:15,7,10278,10278
14323330,05.01.17 14:24:34,21,10620,10620
14323536,05.01.17 23:33:00,7,12570,12570
14323832,06.01.17 16:51:38,18,15978,15978
14323917,06.01.17 19:31:11,10,1169,1169
14323980,06.01.17 23:24:56,22,27610,0
14324048,07.01.17 11:36:15,20,4242,4242
14324157,07.01.17 17:49:31,14,2289,2289
14324206,07.01.17 19:57:38,16,8931,8931
14324266,07.01.17 23:18:11,21,17766,0
14324277,07.01.17 23:49:36,4,180,180
14324325,08.01.17 7:50:30,6,240,240
14324331,08.01.17 8:58:49,22,6140,6140
14324476,08.01.17 15:05:01,20,783,783
14324491,08.01.17 15:28:35,10,2192,2192
14324671,08.01.17 21:46:24,21,7929,7929
14324682,08.01.17 22:11:02,5,3600,3600
14324694,08.01.17 22:38:37,5,1400,1400
14324697,08.01.17 22:40:20,9,39657,39657
14324884,09.01.17 10:34:16,5,2366,2366
14325235,09.01.17 15:20:37,19,780,780
14325547,09.01.17 23:03:44,1,300,300
14325622,10.01.17 7:20:57,17,3770,3770
14325725,10.01.17 11:13:39,1,61778,61778
14325903,10.01.17 13:46:15,2,750,750
14326132,10.01.17 17:35:30,18,9146,9146
14326251,10.01.17 21:33:30,20,3348,3348
14326582,11.01.17 15:50:53,13,3210,3210
14326592,11.01.17 16:07:52,22,5004,5004
14326684,11.01.17 18:40:28,16,4008,4008
14326724,11.01.17 20:30:37,13,5515,5515
14326732,11.01.17 20:48:03,12,15588,0
14327183,12.01.17 19:57:05,2,19832,19832
14327198,12.01.17 20:32:55,20,12540,12540
14327214,12.01.17 21:23:17,1,28800,28800
14327277,13.01.17 7:06:26,2,5024,5024
14327414,13.01.17 11:13:35,21,19789,19789
14327919,13.01.17 19:54:15,5,5274,5274
14327966,13.01.17 21:30:25,8,1912,0
14328002,13.01.17 23:04:28,17,864,864
14328079,14.01.17 8:23:21,12,3122,3122
14328201,14.01.17 11:28:28,11,7680,7680
14328507,14.01.17 16:24:51,4,900,900
14328590,14.01.17 18:07:11,19,500,500
14328642,14.01.17 19:20:27,12,1210,1210
14328763,15.01.17 7:04:39,7,14790,0
14328764,15.01.17 7:04:52,9,10396,10396
14328929,15.01.17 11:35:19,4,8640,8640
14328983,15.01.17 12:23:18,20,4592,4592
14329174,15.01.17 15:33:58,12,4499,4499
14329410,15.01.17 20:53:41,19,5850,5850
14329418,15.01.17 21:25:09,5,3206,3206
14329424,15.01.17 21:34:09,22,6642,6642
14329563,16.01.17 10:01:33,21,20934,20934
14329569,16.01.17 10:06:46,3,5904,5904
14329672,16.01.17 12:24:05,13,610,610
14329904,16.01.17 16:36:06,21,13849,13849
14330021,16.01.17 19:03:55,19,1524,1524
14330138,17.01.17 0:00:50,3,4968,4968
14330741,17.01.17 22:08:53,18,1236,1236
14330752,17.01.17 22:38:02,8,1710,1710
14330776,17.01.17 23:16:17,1,1655,1655
14331315,19.01.17 12:29:34,21,1600,1600
14331334,19.01.17 13:25:18,13,34578,0
14331336,19.01.17 13:30:33,11,1587,1587
14331632,20.01.17 7:16:07,3,5720,5720
14331788,20.01.17 11:19:52,20,2816,2816
14331895,20.01.17 13:03:52,1,374,374
